"","VALUE","COUNT","CLASSNAMES","acres","hectare","rel_percent","RED","GREEN","BLUE","R","G","B"
"1",185,28627,"Tree Cover = 85%",6366.49155147448,2576.43,7.14546017292678,0.054902,0.321569,0.031373,"14","82","8"
"2",183,26132,"Tree Cover = 83%",5811.61690792367,2351.88,6.52269414325366,0.066667,0.341176,0.039216,"17","87","10"
"3",182,26062,"Tree Cover = 82%",5796.04928265371,2345.58,6.50522174963558,0.07451,0.34902,0.043137,"19","89","11"
"4",181,24618,"Tree Cover = 81%",5474.91141279906,2215.62,6.14479122985683,0.082353,0.360784,0.047059,"21","92","12"
"5",184,24168,"Tree Cover = 84%",5374.83382177787,2175.12,6.03246869945486,0.066667,0.329412,0.035294,"17","84","9"
"6",180,21776,"Tree Cover = 80%",4842.86582683859,1959.84,5.43541204896264,0.086275,0.368627,0.047059,"22","94","12"
"7",187,20874,"Tree Cover = 87%",4642.26585550278,1878.66,5.21026777691248,0.05098,0.301961,0.027451,"13","77","7"
"8",179,19025,"Tree Cover = 79%",4231.05815372906,1712.25,4.74874697977196,0.090196,0.368627,0.05098,"23","94","13"
"9",186,18777,"Tree Cover = 86%",4175.90428134405,1689.93,4.68684478523932,0.05098,0.309804,0.027451,"13","79","7"
"10",175,17276,"Tree Cover = 75%",3842.08991662672,1554.84,4.31218674494299,0.121569,0.411765,0.070588,"31","105","18"
"11",178,15559,"Tree Cover = 78%",3460.23830821921,1400.31,3.88361389005372,0.101961,0.380392,0.058824,"26","97","15"
"12",177,13257,"Tree Cover = 77%",2948.28583148416,1193.13,3.30902174564189,0.101961,0.388235,0.058824,"26","99","15"
"13",176,10763,"Tree Cover = 76%",2393.63358258007,968.67,2.68650532159189,0.109804,0.4,0.062745,"28","102","16"
"14",25,8790,"Developed-Roads",1954.84894461385,791.1,2.19403342718505,0.003921,0.003921,0.003921,"1","1","1"
"15",174,7085,"Tree Cover = 74%",1575.66607196691,637.65,1.76845583977316,0.12549,0.419608,0.070588,"32","107","18"
"16",173,5993,"Tree Cover = 73%",1332.81111775549,539.37,1.49588649933106,0.129412,0.431373,0.078431,"33","110","20"
"17",172,5166,"Tree Cover = 72%",1148.89074492322,464.94,1.28946264901456,0.141176,0.439216,0.082353,"36","112","21"
"18",13,4755,"Developed-Upland Deciduous Forest",1057.48654512387,427.95,1.1868747379141,0.25098,0.239216,0.658824,"64","61","168"
"19",188,4424,"Tree Cover = 88%",983.873917061623,398.16,1.10425527666287,0.039216,0.290196,0.023529,"10","74","6"
"20",171,4276,"Tree Cover = 71%",950.959509347988,384.84,1.06731364444178,0.145098,0.45098,0.086275,"37","115","22"
"21",170,3714,"Tree Cover = 70%",825.973717894862,334.26,0.927035284250884,0.152941,0.458824,0.090196,"39","117","23"
"22",169,3224,"Tree Cover = 69%",717.000341005125,290.16,0.8047285289243,0.164706,0.458824,0.098039,"42","117","25"
"23",165,3009,"Tree Cover = 65%",669.185491961669,270.81,0.751063319954472,0.192157,0.501961,0.113725,"49","128","29"
"24",168,2831,"Tree Cover = 68%",629.599244846622,254.79,0.706633519039917,0.168627,0.470588,0.098039,"43","120","25"
"25",167,2596,"Tree Cover = 67%",577.336502868891,233.64,0.64797619760778,0.172549,0.478431,0.105882,"44","122","27"
"26",166,2331,"Tree Cover = 66%",518.401921489748,209.79,0.581830707482178,0.188235,0.490196,0.113725,"48","125","29"
"27",11,2171,"Open Water",482.818778015548,195.39,0.541893807783702,0,0,1,"0","0","255"
"28",16,2121,"Developed-Upland Herbaceous",471.69904567986,190.89,0.529413526627928,0.478431,0.556863,0.960784,"122","142","245"
"29",164,2001,"Tree Cover = 64%",445.011688074211,180.09,0.499460851854071,0.2,0.509804,0.121569,"51","130","31"
"30",189,1906,"Tree Cover = 89%",423.884196636405,171.54,0.4757483176581,0.035294,0.278431,0.019608,"9","71","5"
"31",355,1885,"Herb Cover = 55%",419.213909055416,169.65,0.470506599572675,1,0.537255,0.211765,"255","137","54"
"32",163,1868,"Tree Cover = 63%",415.433200061282,168.12,0.466263303979712,0.215686,0.521569,0.129412,"55","133","33"
"33",162,1754,"Tree Cover = 62%",390.080210335915,157.86,0.437808262944548,0.219608,0.529412,0.133333,"56","135","34"
"34",15,1710,"Developed-Upland Mixed Forest",380.29484588051,153.9,0.426825615527467,0.4,0.466667,0.803922,"102","119","205"
"35",161,1695,"Tree Cover = 61%",376.958926179804,152.55,0.423081531180734,0.227451,0.541176,0.141176,"58","138","36"
"36",360,1677,"Herb Cover = 60%",372.955822538956,150.93,0.418588629964656,1,0.509804,0.180392,"255","130","46"
"37",359,1657,"Herb Cover = 59%",368.507929604681,149.13,0.413596517502346,1,0.513725,0.188235,"255","131","48"
"38",358,1647,"Herb Cover = 58%",366.283983137544,148.23,0.411100461271191,1,0.529412,0.188235,"255","135","48"
"39",357,1628,"Herb Cover = 57%",362.058484849982,146.52,0.406357954431997,1,0.533333,0.2,"255","136","51"
"40",356,1617,"Herb Cover = 56%",359.612143736131,145.53,0.403612292577727,1,0.533333,0.2,"255","136","51"
"41",160,1599,"Tree Cover = 60%",355.609040095284,143.91,0.399119391361649,0.243137,0.54902,0.14902,"62","140","38"
"42",159,1589,"Tree Cover = 59%",353.385093628146,143.01,0.396623335130494,0.243137,0.54902,0.14902,"62","140","38"
"43",354,1539,"Herb Cover = 54%",342.265361292459,138.51,0.38414305397472,1,0.552941,0.211765,"255","141","54"
"44",155,1527,"Tree Cover = 55%",339.596625531894,137.43,0.381147786497334,0.278431,0.588235,0.176471,"71","150","45"
"45",361,1515,"Herb Cover = 61%",336.927889771329,136.35,0.378152519019948,1,0.509804,0.180392,"255","130","46"
"46",158,1463,"Tree Cover = 58%",325.363368142214,131.67,0.365173026617944,0.25098,0.560784,0.156863,"64","143","40"
"47",353,1461,"Herb Cover = 53%",324.918578848786,131.49,0.364673815371713,1,0.552941,0.211765,"255","141","54"
"48",362,1416,"Herb Cover = 62%",314.910819746668,127.44,0.353441562331516,1,0.486275,0.168627,"255","124","43"
"49",157,1408,"Tree Cover = 57%",313.131662572958,126.72,0.351444717346592,0.266667,0.568627,0.164706,"68","145","42"
"50",352,1387,"Herb Cover = 52%",308.461374991969,124.83,0.346202999261167,1,0.556863,0.219608,"255","142","56"
"51",156,1352,"Tree Cover = 56%",300.677562356988,121.68,0.337466802452126,0.270588,0.580392,0.168627,"69","148","43"
"52",154,1264,"Tree Cover = 54%",281.106833446178,113.76,0.315501507617964,0.298039,0.6,0.184314,"76","153","47"
"53",351,1250,"Herb Cover = 51%",277.993308392186,112.5,0.312007028894347,1,0.572549,0.219608,"255","146","56"
"54",190,1238,"Tree Cover = 90%",275.324572631621,111.42,0.309011761416961,0.035294,0.278431,0.019608,"9","71","5"
"55",363,1172,"Herb Cover = 63%",260.646525948513,105.48,0.29253779029134,1,0.486275,0.168627,"255","124","43"
"56",153,1120,"Tree Cover = 53%",249.082004319398,100.8,0.279558297889335,0.305882,0.611765,0.196078,"78","156","50"
"57",152,1068,"Tree Cover = 52%",237.517482690283,96.12,0.26657880548733,0.309804,0.619608,0.2,"79","158","51"
"58",151,1062,"Tree Cover = 51%",236.183114810001,95.58,0.265081171748637,0.329412,0.631373,0.207843,"84","161","53"
"59",350,1051,"Herb Cover = 50%",233.73677369615,94.59,0.262335509894367,1,0.576471,0.231373,"255","147","59"
"60",150,1033,"Tree Cover = 50%",229.733670055302,92.97,0.257842608678288,0.337255,0.639216,0.215686,"86","163","55"
"61",149,987,"Tree Cover = 49%",219.50351630647,88.83,0.246360750014976,0.337255,0.639216,0.215686,"86","163","55"
"62",191,938,"Tree Cover = 91%",208.606178617496,84.42,0.234130074482318,0.027451,0.270588,0.015686,"7","69","4"
"63",145,916,"Tree Cover = 45%",203.713496389794,82.44,0.228638750773777,0.388235,0.678431,0.25098,"99","173","64"
"64",148,902,"Tree Cover = 48%",200.599971335801,81.18,0.225144272050161,0.352941,0.65098,0.227451,"90","166","58"
"65",147,879,"Tree Cover = 47%",195.484894461385,79.11,0.219403342718505,0.364706,0.658824,0.239216,"93","168","61"
"66",146,878,"Tree Cover = 46%",195.262499814671,79.02,0.219153737095389,0.368627,0.670588,0.243137,"94","171","62"
"67",349,863,"Herb Cover = 49%",191.926580113965,77.67,0.215409652748657,1,0.576471,0.231373,"255","147","59"
"68",364,853,"Herb Cover = 64%",189.702633646827,76.77,0.212913596517502,1,0.482353,0.160784,"255","123","41"
"69",144,791,"Tree Cover = 44%",175.914165550575,71.19,0.197438047884343,0.396078,0.690196,0.262745,"101","176","67"
"70",365,760,"Herb Cover = 65%",169.019931502449,68.4,0.189700273567763,1,0.466667,0.160784,"255","119","41"
"71",348,739,"Herb Cover = 48%",164.34964392146,66.51,0.184458555482338,1,0.596078,0.239216,"255","152","61"
"72",142,716,"Tree Cover = 42%",159.234567047044,64.44,0.178717626150682,0.419608,0.709804,0.278431,"107","181","71"
