"","VALUE","COUNT","CLASSNAMES","acres","hectare","rel_percent","RED","GREEN","BLUE","R","G","B"
"1",122,50654,"Tree Height = 22 meters",11265.1784346382,4558.86,12.6435232332914,0.388235,0.678431,0.25098,"99","173","64"
"2",121,46101,"Tree Height = 21 meters",10252.6156081505,4149.09,11.5070688312466,0.396078,0.690196,0.262745,"101","176","67"
"3",123,45636,"Tree Height = 23 meters",10149.2020974286,4107.24,11.3910022164979,0.364706,0.658824,0.239216,"93","168","61"
"4",124,35177,"Tree Height = 24 meters",7823.17648744953,3165.93,8.78037700433315,0.341176,0.65098,0.219608,"87","166","56"
"5",120,34814,"Tree Height = 20 meters",7742.44723069244,3133.26,8.68977016314224,0.419608,0.709804,0.278431,"107","181","71"
"6",118,33762,"Tree Height = 18 meters",7508.48806234957,3038.58,8.42718504762475,0.454902,0.741176,0.301961,"116","189","77"
"7",310,30716,"Herb Height >= 1 meter",6831.0739684595,2764.44,7.66688631961501,1,0.2,0,"255","51","0"
"8",125,25734,"Tree Height = 25 meters",5723.1038385316,2316.06,6.4233511052537,0.329412,0.631373,0.207843,"84","161","53"
"9",119,23681,"Tree Height = 19 meters",5266.52762882828,2131.29,5.91091076099762,0.431373,0.721569,0.286275,"110","184","73"
"10",117,12446,"Tree Height = 17 meters",2767.92377299931,1120.14,3.10659158529523,0.466667,0.74902,0.313725,"119","191","80"
"11",126,11267,"Tree Height = 26 meters",2505.7204845238,1014.03,2.81230655564209,0.309804,0.619608,0.2,"79","158","51"
"12",116,9396,"Tree Height = 16 meters",2089.62010052238,845.64,2.34529443479303,0.498039,0.768627,0.337255,"127","196","86"
"13",25,8790,"Developed-Roads",1954.84894461385,791.1,2.19403342718505,0.003921,0.003921,0.003921,"1","1","1"
"14",115,6710,"Tree Height = 15 meters",1492.26807944925,603.9,1.67485373110485,0.513725,0.780392,0.352941,"131","199","90"
"15",13,4755,"Developed-Upland Deciduous Forest",1057.48654512387,427.95,1.1868747379141,0.25098,0.239216,0.658824,"64","61","168"
"16",114,4022,"Tree Height = 14 meters",894.471269082696,361.98,1.00391381617045,0.533333,0.8,0.368627,"136","204","94"
"17",127,3934,"Tree Height = 27 meters",874.900540171886,354.06,0.981948521336289,0.298039,0.6,0.184314,"76","153","47"
"18",113,2259,"Tree Height = 13 meters",502.389506926358,203.31,0.563859102617864,0.552941,0.811765,0.380392,"141","207","97"
"19",11,2171,"Open Water",482.818778015548,195.39,0.541893807783702,0,0,1,"0","0","255"
