"","Var1","Var2","Freq","BPS_NAME"
"1",1870,1,282,"Northeastern Interior Dry-Mesic Oak Forest"
"2",1874,1,46,"Southern and Central Appalachian Cove Forest"
"3",1875,1,82,"Central and Southern Appalachian Montane Oak Forest"
"4",1878,1,321,"Central and Southern Appalachian Spruce-Fir Forest"
"5",1882,1,16,"Central Appalachian Dry Oak-Pine Forest"
"6",1883,1,6,"Appalachian (Hemlock-)Northern Hardwood Forest"
"7",1887,1,5,"Central Interior and Appalachian Floodplain Systems"
"8",1888,1,252,"Central Interior and Appalachian Riparian Systems"
"9",1870,2,36,"Northeastern Interior Dry-Mesic Oak Forest"
"10",1874,2,1,"Southern and Central Appalachian Cove Forest"
"11",1875,2,1,"Central and Southern Appalachian Montane Oak Forest"
"12",1878,2,71166,"Central and Southern Appalachian Spruce-Fir Forest"
"13",1882,2,19774,"Central Appalachian Dry Oak-Pine Forest"
"14",1883,2,37468,"Appalachian (Hemlock-)Northern Hardwood Forest"
"15",1884,2,2,"Southern Ridge and Valley/Cumberland Dry Calcareous Forest"
"16",1885,2,1,"Central Appalachian Pine-Oak Rocky Woodland"
"17",1887,2,89,"Central Interior and Appalachian Floodplain Systems"
"18",1888,2,14428,"Central Interior and Appalachian Riparian Systems"
"19",1889,2,2,"Central Interior and Appalachian Swamp Systems"
"20",1870,3,7570,"Northeastern Interior Dry-Mesic Oak Forest"
"21",1874,3,18,"Southern and Central Appalachian Cove Forest"
"22",1875,3,63,"Central and Southern Appalachian Montane Oak Forest"
"23",1878,3,5445,"Central and Southern Appalachian Spruce-Fir Forest"
"24",1882,3,14820,"Central Appalachian Dry Oak-Pine Forest"
"25",1883,3,3971,"Appalachian (Hemlock-)Northern Hardwood Forest"
"26",1884,3,2,"Southern Ridge and Valley/Cumberland Dry Calcareous Forest"
"27",1885,3,679,"Central Appalachian Pine-Oak Rocky Woodland"
"28",1887,3,971,"Central Interior and Appalachian Floodplain Systems"
"29",1888,3,6380,"Central Interior and Appalachian Riparian Systems"
"30",1889,3,355,"Central Interior and Appalachian Swamp Systems"
"31",1870,4,24820,"Northeastern Interior Dry-Mesic Oak Forest"
"32",1874,4,3218,"Southern and Central Appalachian Cove Forest"
"33",1875,4,4818,"Central and Southern Appalachian Montane Oak Forest"
"34",1878,4,1964,"Central and Southern Appalachian Spruce-Fir Forest"
"35",1879,4,16,"Southern Appalachian Montane Pine Forest and Woodland"
"36",1882,4,93,"Central Appalachian Dry Oak-Pine Forest"
"37",1883,4,5606,"Appalachian (Hemlock-)Northern Hardwood Forest"
"38",1884,4,94,"Southern Ridge and Valley/Cumberland Dry Calcareous Forest"
"39",1885,4,19,"Central Appalachian Pine-Oak Rocky Woodland"
"40",1886,4,76,"Central Appalachian Alkaline Glade and Woodland"
"41",1887,4,9,"Central Interior and Appalachian Floodplain Systems"
"42",1888,4,1,"Central Interior and Appalachian Riparian Systems"
"43",1870,5,25427,"Northeastern Interior Dry-Mesic Oak Forest"
"44",1874,5,18209,"Southern and Central Appalachian Cove Forest"
"45",1875,5,62916,"Central and Southern Appalachian Montane Oak Forest"
"46",1879,5,145,"Southern Appalachian Montane Pine Forest and Woodland"
"47",1882,5,493,"Central Appalachian Dry Oak-Pine Forest"
"48",1884,5,183,"Southern Ridge and Valley/Cumberland Dry Calcareous Forest"
"49",1887,5,15,"Central Interior and Appalachian Floodplain Systems"
"50",1888,5,889,"Central Interior and Appalachian Riparian Systems"
"51",1870,6,3,"Northeastern Interior Dry-Mesic Oak Forest"
"52",1878,6,505,"Central and Southern Appalachian Spruce-Fir Forest"
"53",1882,6,19,"Central Appalachian Dry Oak-Pine Forest"
"54",1883,6,205,"Appalachian (Hemlock-)Northern Hardwood Forest"
"55",1884,6,268,"Southern Ridge and Valley/Cumberland Dry Calcareous Forest"
"56",1885,6,1598,"Central Appalachian Pine-Oak Rocky Woodland"
"57",1886,6,7,"Central Appalachian Alkaline Glade and Woodland"
"58",1887,6,1156,"Central Interior and Appalachian Floodplain Systems"
"59",1889,6,35,"Central Interior and Appalachian Swamp Systems"
"60",1870,7,6743,"Northeastern Interior Dry-Mesic Oak Forest"
"61",1874,7,1595,"Southern and Central Appalachian Cove Forest"
"62",1875,7,4320,"Central and Southern Appalachian Montane Oak Forest"
"63",1878,7,3913,"Central and Southern Appalachian Spruce-Fir Forest"
"64",1879,7,58,"Southern Appalachian Montane Pine Forest and Woodland"
"65",1882,7,1416,"Central Appalachian Dry Oak-Pine Forest"
"66",1883,7,2118,"Appalachian (Hemlock-)Northern Hardwood Forest"
"67",1884,7,131,"Southern Ridge and Valley/Cumberland Dry Calcareous Forest"
"68",1885,7,158,"Central Appalachian Pine-Oak Rocky Woodland"
"69",1886,7,9,"Central Appalachian Alkaline Glade and Woodland"
"70",1887,7,367,"Central Interior and Appalachian Floodplain Systems"
"71",1888,7,2025,"Central Interior and Appalachian Riparian Systems"
"72",1889,7,24,"Central Interior and Appalachian Swamp Systems"
"73",11,111,2171,"Open Water"
"74",1870,120,6301,"Northeastern Interior Dry-Mesic Oak Forest"
"75",1874,120,1982,"Southern and Central Appalachian Cove Forest"
"76",1875,120,2504,"Central and Southern Appalachian Montane Oak Forest"
"77",1878,120,1948,"Central and Southern Appalachian Spruce-Fir Forest"
"78",1879,120,2,"Southern Appalachian Montane Pine Forest and Woodland"
"79",1882,120,624,"Central Appalachian Dry Oak-Pine Forest"
"80",1883,120,1779,"Appalachian (Hemlock-)Northern Hardwood Forest"
"81",1884,120,42,"Southern Ridge and Valley/Cumberland Dry Calcareous Forest"
"82",1885,120,29,"Central Appalachian Pine-Oak Rocky Woodland"
"83",1887,120,313,"Central Interior and Appalachian Floodplain Systems"
"84",1888,120,2887,"Central Interior and Appalachian Riparian Systems"
"85",1889,120,6,"Central Interior and Appalachian Swamp Systems"
"86",1870,180,11992,"Northeastern Interior Dry-Mesic Oak Forest"
"87",1874,180,2138,"Southern and Central Appalachian Cove Forest"
"88",1875,180,911,"Central and Southern Appalachian Montane Oak Forest"
"89",1878,180,99,"Central and Southern Appalachian Spruce-Fir Forest"
"90",1879,180,6,"Southern Appalachian Montane Pine Forest and Woodland"
"91",1882,180,340,"Central Appalachian Dry Oak-Pine Forest"
"92",1883,180,139,"Appalachian (Hemlock-)Northern Hardwood Forest"
